Total RAM,RAM,CPU,CUP 15 min,System information,Time
1021976,10000,85,0.0,Linux zeus 4.8.6.5-smp #2 SMP Sun Nov 13 14:58:11 CDT 2016 i686
Total RAM,RAM,CPU,CUP 15 min,System information,Time
1021976,10000,0,0.0,Linux zeus 4.8.6.5-smp #2 SMP Sun Nov 13 14:58:11 CDT 2016 i686
Total RAM,RAM,CPU,CUP 15 min,System information,Time
1021976,10000,0,0.0,Linux zeus 4.8.6.5-smp #2 SMP Sun Nov 13 14:58:11 CDT 2016 i686
